Sentiment,Text,Word Count
positive,stock new machine reasonably small new order bring work,14
neutral,total number share company innofactor group innofactor offer customer comprehensive solution microsoft environment,24
neutral,duration lay offs per employee vary one six week,15
neutral,olli pekka kallasvuo elected vice chairman board,11
neutral,business sale euro million million responsible sale marketing lanxess paper chemical business kemira bought euro million early year cw jan p,53
neutral,rinkuskiai beer sale fell per cent million litre kauno alus beer sale jumped per cent million litre,30
negative,revenue quarter totaled billion percent billion fourth quarter,21
neutral,bond maturity five year part bank domestic bond program,20
negative,net profit three month march fell x ac million u million x ac million year earlier finnish company said,36
neutral,airline targeting travel agent tour operator travel management company raise awareness first targeting consumer added,24
positive,planned facility estimated cost around million would largest biodiesel plant world use palm oil certified roundtable sustainable palm oil rspo,38
positive,also turned earnings per share eps eur versus loss per share eur,21
positive,divestment raisio margarine business may gave company clearer focus grain based product,20
neutral,completion acquisition poyry oil gas expertise cover multi discipline engineering consulting service across complete oil gas asset lifecycle including deepwater engineering service,33
negative,outokumpu steel mill tornio finland suspected source,15
positive,certain shareholder irrevocably agreed vote favor bond issue,14
positive,metal gained percent year demand china world largest user increased,21
neutral,well known brand include fitness equipment maker precor u based ball sport equipment maker wilson,19
neutral,previous offer voting right capital,15
negative,number salaried employee group administration employee dismissed sievi unit,19
positive,overall percent respondent confident security banking online,15
positive,financing arrangement enable company ensure line treasury policy sufficient financial instrument disposal potential capital requirement,32
negative,pretax loss totaled eur mn compared loss eur mn corresponding period,17
neutral,compnay also said would lower price development project one third compared last november,22
neutral,sunrise resource operates russian near shore development market wholly owned russian subsidiary personnel russia,23
neutral,group posted net sale mln euro mln operating profit euro mln,25
negative,operating profit totalled eur mn eur mn year,16
neutral,shop located capital region paijat hame region,13
positive,increased trust client yit seen apartment sale accelerated,15
neutral,pentik inen emphasis internet content medium house provide free forever,18
negative,yit lodged counter claim neste oil totaling eur primarily based work carried contract additional cost incurred due prolongation project,31
positive,airline ordered nine airbus aircraft delivery becomes lead airline latest variant roll royce trent series engine called,35
neutral,nordic walking first used summer training method cross country skier,14
positive,viking line cargo revenue increased eur mn cargo volume increased cargo unit,26
positive,finnish forest machinery manufacturer ponsse net sale grew eur mn first quarter eur mn corresponding period,30
neutral,according product manager lassi hietanen building power plant burn mixed waste helsinki may good idea reduces production combined power plant using natural gas,36
neutral,also finnish industry investment government owned investment company participate project,16
neutral,release offer security sale united state elsewhere,17
positive,comparable operating profit totaled eur mn eur mn,14
neutral,alexandria va jan united state patent issued jan assigned kemira chemical inc marietta ga,30
neutral,energy sector accounted approximately steel industry transportation volume,21
positive,ebit excluding non recurring item totalled eur mn eur mn,16
neutral,total value deal usd mn,10
neutral,company reported profit euro mln sale varesvuo partner sub group loss euro caused sale program production subsidiary oy filmiteollisuus fine ab,40
positive,second quarter company net profit eur compared net loss eur april june,29
neutral,ahlstrom employee serve customer via sale office production facility country six continent,21
neutral,total service concept also includes technology service raute support customer throughout entire life cycle investment,24
neutral,group cumulative sale review period eur million eur million profit tax eur million,30
neutral,decision made quickly possible,10
neutral,new delhi july sahlberg teppo kallio timo mustonen tuomas real oyj espoo finland developed novel marking method producing,33
neutral,value confirmed aircraft order total eur bn,11
neutral,tecnomen solution used prepaid post paid billing charging rating voice video call data traffic kind content service mobile fixed network,37
neutral,protalix closed friday american stock exchange giving market cap million,22
neutral,five storey eco efficient building gross floor area sq also include apartment,22
neutral,filter tip cover volume range l including new size l volume capacity,31
positive,juha jordan chief engineer glaston said one reason choosing vacon global ac drive supplier service support centre country glaston operates,38
neutral,first installment cinema series concludes profile finnish inventor olavi linden whose personal artistic journey work fiskars led dozen design award,33
neutral,plan cs worked together public policy management institute ppmi partner building total area square meter built territory first phase,41
neutral,ahlstrom corporation stock exchange release ahlstrom global leader high performance fiber based material today announced completion acquisition friend group inc consists west carrollton parchment company west carrollton converting company,42
neutral,according vauramo plant lifting equipment suitable asian chinese truck,19
positive,teleste acquisition mark entry service business market long established significant supplier product,27
positive,affecto expects net sale whole increase level reached eur million,22
neutral,new unit built cargotec state art manufacturing facility san antonio texas usa started operation,29
neutral,neither company use genetically engineered soy moment,12
positive,adpnews nov four company agreed buy combined sek billion usd eur drug store offered sale part restructuring swedish stated owned pharmacy monopoly apoteket ab,47
neutral,ruukki delivery includes steel structure including installation krakeroy bascule bridge steel pile bridge foundation,22
neutral,orange handled scissors fiskars part permanent design collection museum modern art new york well philadelphia museum art,31
neutral,buyer real estate owner propertos oy company agreed disclose financial detail deal,23
positive,operating profit net sale three month period increased respectively eur eur compared corresponding period,31
negative,liquidity providing interrupted may aspocomp group oyj share traded cent aspocomp stock exchange release,29
neutral,jun aol weblogs delivered newstex look like e upstaged nokia nyse nok premier business class smartphone someone espoo hit corporate youtube account promo video e,51
neutral,study designed enable formal statistical evaluation therapeutic activity company said,18
neutral,poyry plc additional information martin kuzaj president industry business group finland tel sanna paivaniemi director investor relation poyry plc finland tel poyry global consulting engineering company dedicated balanced sustainability,51
neutral,company disclose detail including anticipated transaction timetable name new investor within one week,24
positive,third quarter net sale increased eur mn operating profit eur mn,29
neutral,total value two contract eur million,13
neutral,zip expert warned tuesday,7
neutral,estimated pct mobile call made home france telecom hope pct orange client sign service end,36
positive,finnish retailer stockmann approval board swedish rival lindex public tender offer aim expanding company presence russia cee country stockmann said monday,38
positive,growth expected continue,8
neutral,rest week taping jimmy kimmel live canceled back foot,23
neutral,finnish paint coating company tikkurila oyj hel tik v announced today launch tikkurila prohouse method protection wooden surface via treatment ultra pro waterborne product,33
positive,narrow eur mo october finnish software hardware developer elektrobit oyj hel ebg v eb said today net loss narrowed eur first nine month eur period year ago,55
neutral,solution fully arabized message want become partner choice business near east region,27
neutral,steel industry accounted percent cargo volume transported whereas energy industry accounted percent industry percent,31
neutral,reduction implemented mainly course first half,16
neutral,pertti ervi independent company major shareholder,12
positive,sale came mln eur compared mln also beating consensus forecast mln eur,23
negative,information released september nokia american depositary share fell,20
positive,previously concluded adaptation measure concerning staff adequate time planning operation continue plant company said,32
negative,according laavainen raisio food marketing used reactive inconsistent,15
neutral,company board director propose dividend eur per share annual general meeting scheduled held march,33
positive,cdli highlight company provided comprehensive response carbon disclosure project cdp information request,19
neutral,russian medium venture minority shareholder peter hervy denied plan sell ovum press daily said,20
positive,basware connectivity service allow company handle purchase pay process online make internal process efficient said ceo ilkka sihvo basware corporation,30
neutral,beginning subscription period may share subscription price b option right eur per share,26
negative,operating cash flow investment totalled eur mn compared eur mn corresponding period,21
neutral,following registration share capital biotie eur,13
neutral,accordance term condition alma medium option program share subscription price option right eur per share book countervalue eur per share,38
neutral,price stainless steel also rose europe,10
neutral,earnings per share eps amounted eur,9
neutral,according tiimari consumer advised cut away rabbit bow tie contains formadehyde dispose,23
positive,nokia bought chicago based navteq acquiring map database compete google map well navigation device company tomtom nv garmin ltd,32
positive,new deal strengthened partnership telemig celular tecnomen started since beginning telemig prepaid operation,26
negative,however suspect stole burgundy nissan altima,10
neutral,wore black beanie type cap black jacket,11
neutral,ponsse plan create network based strong partnership participates production larger entity presently,24
positive,reporting period biotie north american licensing partner somaxon pharmaceutical announced positive result nalmefene pilot phase clinical trial smoking cessation,28
neutral,profit tax eur million,10
neutral,finland based international machinery rental company ramirent plc omx helsinki rmr v said friday may president ceo kari kallio informed board intention retire year,42
positive,according acnielsen scantrack study period week week coca cola market leader soft drink finland,30
negative,operating loss totalled eur mn compared profit eur mn third quarter,22
negative,omx helsinki ended pct lower omx helsinki pct bln eur turnover,26
neutral,sanoma magazine expects net sale level,15
positive,sale latin america increased eur mn total mn mobile device sold area representing increase corresponding period,39
positive,nokia elisa work together bring superior mobile gaming experience elisa customer,17
negative,however net sale declined eur million eur billion,15
neutral,nordstjernan used option buy another stake salcomp share vote,18
neutral,january finnish technology center operator technopolis oyj hel tps v said today invest eur construction second phase office facility tampere,34
negative,company plan close two three line plant job threat,22
neutral,result cancellation maximum increase citycon share capital basis convertible bond decreased eur eur,30
neutral,jacob supporting storengy investment developing storage site since owner engineer,18
neutral,finnish investor scanfil oyj hel scf v said last friday bought million share norwegian contract electronics manufacturer kitron asa osl kit nok million usd eur,47
negative,net sale finnish sanoma learning literature finnish medium group sanoma decreased january june totalling eur mn eur mn corresponding period,39
neutral,segment annual revenue approximately eur company said,14
positive,finnish group anticipates sale gain eur tax expense,14
neutral,pharmaceutical netherlands brand new market analysis give clear overview actual situation future outlook pharmaceutical market netherlands,25
neutral,net sale totalled eur million operating margin,17
neutral,kesko previously published stock exchange release concerning deal february,16
neutral,nordea definitely big sampo acquire said analyst sampo would appear agenda nordea ahead privatisation,31
negative,january august import sea container lorry trailer unit fell export corresponding period,31
neutral,lemminkainen talo oy lahti office significant logistics business premise constructor,16
neutral,testament quality lte solution commitment japanese market added,24
positive,furthermore novator finland oy entered security lending agreement whereby novator finland oy hold directly amount share underlying omx market forward may may,42
positive,kazgiprotsvetmet outotec finland signed agreement strategic cooperation marketing providing mineral processing metallurgical plant related service kazakhstan surrounding country,32
neutral,finland launch tie sale g mobile phone cause dramatic rush mobile retail outlet first day,28
neutral,new system include mc pda motorola used poundstretcher operative across shift integrate real time company existing warehouse management system aldata g l stock went live may,48
neutral,financial term disclosed,6
negative,pulp production finnish kemij rvi also liquidated employee loose job,18
positive,adpnews jun finnish stainless steel maker outokumpu oyj hel v said yesterday signed three year eur million usd bn revolving credit facility,32
neutral,symbian foundation plan revise procedure testing signing software digitally signing trojan symbian mobile phone operating system mistake,28
neutral,company decided stop operation ruukki construction division latvia lithuania concentrate production logistics parnu estonia,30
positive,second quarter group net profit rose eur eur april june,25
neutral,combined value order eur mn,10
neutral,significant capital expenditure item global enterprise resource planning erp project product development production machine,22
neutral,emerging market raisio chosen enter far marked relatively low per caput food consumption,21
positive,lowering price u competitor show real estate market stabilised returned balance apartment acquiring fair price eye client,37
neutral,charge dismissed,6
neutral,proline plus mechanical liquid handling device robust design suitable type application,19
positive,contract signed acquire uranium produced sotkamo nickel zinc mine eastern finland owned talvivaara,21
positive,finnish p yry awarded engineering contract cfr national railway company romania,18
positive,superior customer centricity expertise digital service set u apart competitor,16
positive,geosolutions technology leverage benefon gps solution providing location based search technology community platform location relevant multimedia content new powerful commercial model,32
negative,addition production varpaisj rvi factory stopped beginning april,20
neutral,sonoco product co u packaging company said friday bought percent italy demolli industria cartaria spa already,29
neutral,resignation effect immediately,8
neutral,building house example respecta oy jyvaskyla premise well company announced later say samuel koivisto director technopolis operation jyvaskyla,35
positive,net interest income totaled eur mn compared eur mn year earlier,17
positive,adp news feb finnish management software solution provider ixonos oyj hel xns v said today net profit rose eur million usd eur million,46
positive,new production plant company would increase capacity meet expected increase demand would improve use raw material therefore increase production profitability,33
negative,net sale period expected fall well last year result non recurring item expected red,30
neutral,mr jorma valkama managing director suomen paikallissanomat oy state rannikkoseutu complement outstanding way current product range company,27
positive,operating profit surged eur eur,9
negative,air traffic finland stoppage since,12
positive,componenta increased stake turkish steel company doktas dokumculuk ticaret sanayi pct stake march,22
neutral,founded company us six step time focused collaborative project approach improve financial institution revenue stream,23
neutral,established srv group private finnish construction concern operation finland baltic country russia,24
neutral,company indicate level investment unit said purchased equipment nokia corporation mobile phone r laboratory jyvaeskylae,32
neutral,fortum need clear signal commitment government permit available company start next round kuula say,27
neutral,consolidated unaudited result amanda capital ifrs reporting standard,14
neutral,first quarter expected line analyst forecast,15
neutral,contract includes design construction delivery equipment installation commissioning,15
neutral,sanoma learning literature offering print digital learning material present eleven country,18
positive,finland leading metal group outokumpu said fourth quarter net profit tripled back strong global demand stainless steel soaring base metal price proceeds sale technology unit,39
positive,according pkc acquisition would bring significant addition pkc customer base,17
neutral,swedish wallenberg family controlled investor bought large stake c share swedish retail bank seb,19
negative,go bed worrying every night said,16
neutral,share held company number outstanding share voting right attached share amount thus,27
negative,danish company flsmidth acknowledged violated patent held finnish metso,16
negative,adpnews may finnish cutlery hand tool maker fiskars oyj abp hel fisa said today net profit declined eur million usd first quarter eur million correspond,50
neutral,party therefore agreed leave avena deal,13
positive,adp news oct finnish consulting engineering company poyry oyj omx poy v said today awarded eur million usd extension existing consultancy engineering contract venezuel,45
neutral,engine electrical output kw making largest gas powered generating set world,22
negative,peer peugeot fell pct sale rose pct period last year,19
positive,finnish construction company yit oyj said november mln euro mln contract construct new office building local property company tapiola real estate oy,36
negative,baltic country sale fell,11
positive,reporting period net sale rose year year eur due business acquisition realized first half effect eur review period,43
neutral,finnish automation solution developer cencorp corporation omx helsinki cnc v reported thursday november operating loss eur net sale eur period january september,41
neutral,nordea pankki suomi oyj ownership stonesoft corporation decreased,14
negative,steelmaker said drop profit explained continuing economic uncertainty mixed current drought bank lending resulting decline demand product customer find increasingly difficult fund operation,44
neutral,transaction agreement metsaliitto purchase metsa botnia share upm real,22
neutral,comptel corporation publish financial statement february,14
positive,profit tax eur mn eur mn year earlier,17
neutral,stora enso business north america annual capacity million ton employ people,21
neutral,issuer solely responsible content announcement,12
neutral,upon completion transaction metso stake amount,17
positive,outokumpu chief executive juha rantanen expressed confidence china market,13
neutral,figure include food export finland,10
neutral,transaction planned financed eur market based loan granted standard chartered bank hong kong,20
neutral,finnish component supplier componenta corporation omx helsinki cth v said monday june changing pricing cycle due increase raw material price,30
neutral,aldata solution oyj thomas hoyer cfo information aldata solution oyj thomas hoyer cfo tel aldata brief aldata solution one global leader supply chain software retail wholesale logistics company,46
neutral,volume investment two phase project estimated usd mn eur mn,22
neutral,contract value amount eur company added,12
neutral,rimvesta controlled estonian owned real estate development company ell nekilnojamas turtas member merko largest construction group baltic country,30
neutral,amendment incur additional cost,8
neutral,value contract eur mn,9
positive,resulted improved sale figure sweden,9
neutral,also six year historic analysis provided market,12
neutral,group net sale stood eur million employee,20
positive,main strength cooperation project lie merging know two large company,17
neutral,enclosed affecto call extraordinary general meeting held july th main agenda approve authorization board proposed share issue related component software acquisition elect haakon skaarer affecto board,49
positive,acquisition solteq expand solution offering microsoft dynamic business software product,17
neutral,order consists outsourced application management support planning tecnotree third party application,17
positive,commission income increased eur mn lending volume rose,19
positive,acquisition kaupthing sverige bring significant positive non recurring addition group performance,18
neutral,finland technopolis planning bring first section technopark stream st petersburg end kari mikkonen vice president technopolis told reporter helsinki,37
neutral,mr bakman see also expansion option tallinn helisnki link claiming however operating link single ship enough,27
neutral,international conference call audio webcast concerning financial result january march begin eet,19
positive,ragutis controlled finnish brewery reported per cent rise beer sale million litre held per cent market share,28
positive,cencorp estimate net sale last quarter earlier stated eur eur operating profit ebit estimated positive,33
neutral,rihko said sale enable company concentrate grain based business,15
neutral,profit tax totaled eur mn,8
neutral,far company awarded worth tool material,16
neutral,value deal exceeds eur company said,13
neutral,following demerger vice president group pharmaceutical trade finland jukka niemi appointed managing director oriola addition current responsibility,33
neutral,operated nokia supported nokia netact network service management system,19
neutral,new share provide shareholder full shareholder right,12
negative,also upset machinery work taken poland,17
negative,net sale paper segment decreased eur mn second quarter eur mn second quarter operating profit excluding non recurring item rose eur mn eur mn,44
neutral,according notice skandinaviska enskilda banken ab publ helsinki branch august divested total alma medium share ilkka yhtyma oyj kaleva kustannus oy condition agreement made company july fulfilled,48
neutral,transaction real metsa botnia upm,17
neutral,add order contains among others control valve instrumentation well complete mill engineering electrification metso drive control,25
neutral,share issue derogating pre emptive right shareholder comprising six million new share market price offered subscription shareholder holder capital note professional client,40
negative,disappointment see plan folded,10
neutral,delivery started april completed,13
neutral,finnish investment company neomarkka main owner kuitu finland successor,14
positive,operating profit eur mn compared loss eur mn corresponding period,22
positive,according finnish metso mineral value company order gone eur bn month,24
positive,finnish airline finnair deal uk public sector official airline flight london heathrow osaka japan well flight manchester uk helsinki finland,41
positive,finnish steel maker rautaruukki oyj ruukki said july mln euro mln contract supply install steel superstructure partihallsforbindelsen bridge project gothenburg western sweden,43
neutral,copying republication redistribution afx news content including framing similar mean expressly prohibited without prior written consent afx news,30
neutral,network test business part elektrobit test automation business segment employ people finland people abroad mainly u asia,32
positive,pipeline strong,5
neutral,meanwhile minority shareholder expecting teliasonera retain bid sell share,16
neutral,repo rate gradually reach end according nordea economic outlook,21
neutral,ahlstrom share quoted nasdaq omx helsinki,11
positive,precedex approved iv sedation initially intubated mechanically ventilated patient intensive care,17
positive,block lamp harri koskinen light introduced bestseller ever since,19
positive,service also give supplier opportunity key invoice receive order electronically send order confirmation upload create electronic catalogue,27
positive,fiskars world scissors brand tm recently learning magazine teacher choice award classroom,25
positive,scania morgan stanley lifted share target swedish heavy duty truck bus maker scania ab crown euro crown euro,37
positive,finnish pulp paper machinery maker vaahto group oyj swung mln euro mln net profit fiscal ended august euro net loss fiscal,44
neutral,aldata noted voice supply chain technology approach enables vdw integrate warehouse management system,18
positive,net sale finnish food industry company l nnen tehtaat continuing operation increased eur mn eur mn,29
neutral,plant expected enter commercial operation mid,11
neutral,corresponding increase share capital due subscription warrant total eur registered finnish trade register january,33
neutral,deal worth eur mn,9
positive,tomtom given assurance continue sell map competitor win eu approval,19
positive,second successful effort financial investor year,13
neutral,invention carry international patent publication,8
neutral,stora enso also meeting labor authority employment economic development centre representative government order find solution,27
neutral,category marked maturity recession,10
neutral,daily graphic newspaper october reported initiative embarked upon fidelity bank partner ghana post office across country offer financial service unbanked banked country,43
neutral,nokia said outcome fair responsible social plan,14
neutral,finnish forestry company upm kymmene waste management company lassila tikanoja said jan planning produce ethanol energy commercial industrial waste,29
neutral,annual net sale unit eur million currently employ people,20
positive,item included restructuring cost eur year earlier eur diluted eps stood eur versus loss per share eur,34
neutral,company model based developer contracting construction project customer focused project management,17
neutral,oriola kd headquartered espoo finland leading distributor pharmaceutical healthcare product employee nordic baltic country,27
neutral,total investment vantaa plant extension amount around million euro okmetic share investment worth around million,30
neutral,mr walden mr ignatius responsible also newspaper business result,17
positive,md henning bahr stockmann gruppen praise trend since chain become stronger decision making process clear,22
neutral,rapala aim move distribution unit ragot loudeac bretagne distribution unit waterqueen fishing line supplier tortue saint marcel central france morvillars,32
neutral,objective yield significant part turnover russia couple year say solteq managing director hannu ahola,28
neutral,company reportedly searching replacement ceo olli pekka kallasvuo,13
neutral,sampo group become major shareholder nordea owns trygvesta main competitor p c insurance,22
neutral,option right entitles holder subscribe one new share subscription price eur subscription period end december,30
positive,mika stahlberg vp f secure lab said excited proud f secure recognized av comparative product year,29
neutral,company serf customer various industry including process resource industrial machinery architecture building construction electrical transportation electronics chemical petrochemical energy information technology well catering household,45
positive,new representation extends comptel global presence total country serving customer country worldwide,25
negative,considerably weaker u dollar british pound impact sale average price euro upm said,24
neutral,teleste set divided broadband cable network video network business area,19
neutral,bond value eur maturity year,14
positive,operating result including non recurring item rose eur mn loss eur mn,18
neutral,according finnish russian chamber commerce major construction company finland operating russia,20
neutral,test part larger campaign includes various customer trial demonstration make lte mhz commercially viable summer nokia siemens head lte business line reino tammela said,42
positive,finnish suominen corporation specialises wet wipe nonwovens flexible packaging report net sale eur mn second quarter eur mn second quarter,40
neutral,two contract turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer,24
positive,euro million investment lewa netted deutsche beteiligungs euro million,21
negative,however increase signaling traffic waste network resource allows fewer smartphones connect,17
positive,marimekko also opened concept store yokohama nagoya central japan silver spring metropolitan washington dc usa graz central austria aalborg northern denmark,40
neutral,alexandria va oct aaron moss hampshire great britain developed ornamental design handset u patent trademark office announced,32
neutral,shareholder right put agenda agm item within competence general meeting,23
neutral,includes company new highly powerful compact scalable flexi multiradio base station,19
positive,according ceo nordea bank estonia vahur kraft nordea finland stockmann cooperating ten year,24
neutral,chain trying cut cost pressuring vendor fitness equipment manufacturer precor slash price,23
neutral,original contract signed last summer,8
neutral,dividend come top eur share k share already paid last year account,28
neutral,value kind order amount usually euro million,16
neutral,aspo plc stock exchange bulletin october p aspo system division completed statutory negotiation required act co operation within undertaking conducted part action plan launched august,42
neutral,glaston share gla v listed nasdaq omx helsinki mid cap list,16
positive,operating profit net sale three month period increased respectively eur eur compared corresponding quarter,29
neutral,tool specifically designed need business user ict expert mind,19
negative,benefon target lay temporarily permanently salo plant staff,21
positive,position pursue novel clinical candidate going forward,15
neutral,raute headquartered nastola finland technology company serving wood product industry worldwide,19
negative,dismissed staff member take matter court unless settled outside,18
negative,fair value company investment property went eur bn end september eur bn year earlier,29
neutral,finnish real estate company sponda oyj said april would build vuosaari harbour service center port helsinki,25
positive,president ceo mika vehvil inen say positive sign first foremost emerging outside finland,17
negative,november finnish office furniture maker martela oyj hel mara said today make redundant three people nine laid permanently company office staff factory worker,40
neutral,gunneflo responsible oriola kd pharmaceutical trade business sweden,13
neutral,relevant authority approval make mandatory bid required finnish security market act,24
positive,win oems targeting develop wimax product,14
positive,pleased working fujitsu ntt docomo advance progress lte said juergen walter head converged core nokia siemens network,34
neutral,tekla group net sale approximately million euro,13
positive,combining existing solution single platform comptel said reduced cost deployment,21
negative,net sale decreased eur mn eur mn corresponding period,18
neutral,affecto provide new efi data warehouse reporting solution behavioural scoring system supporting operational decision process data migration old legacy system new efi system,32
neutral,however short term rental becoming popular,8
positive,january finnish flag carrier finnair oyj hel fia said today sealed nine year sale leaseback agreement newest airbus aircraft syndication japanese operating lease market,39
positive,turun kaupunkin finland based company awarded contract lemminkainen talotekniikka oy electrical installation work,18
neutral,august glaston north asian sale service region upgraded new market area north asia,24
neutral,construction large woodworking facility sheksna district vologda region northwest russia begin plant start production,34
neutral,eur million transaction consideration paid form four year interest bearing vendor note,18
neutral,therefore phase iii research conducted abbott,14
positive,company also expects sell product russian region,13
neutral,world glass coming egypt invite visitor around world attend glass world exhibition register www glassworldex com,28
neutral,total surveillance camera handled managed according variety need company said,24
positive,warmly welcome satama state jussi lansio chairman board,17
neutral,saving full impact beginning,13
positive,operating profit rose eur mn eur mn,12
neutral,niina nenonen marimekko current director clothing bag accessory line take role,21
neutral,total value contract eur million,12
neutral,financial statement first quarter tikkurila reported discontinued operation,18
neutral,contract includes software licence application maintenance training,11
positive,company well positioned brazil uruguay,10
neutral,cent profile contains business operation company history major product service prospect key competitor structure key employee location subsidiary,30
neutral,module product available trial q volume delivery q,17
positive,sysopen digia plc press release february ibm finland rewarded distinguished partner company,22
neutral,latin america currently account approximately sale tecnotree company president ceo eero mertano recently told bnamericas,23
neutral,company hoped new plant would stream end,17
neutral,etteplan reported turnover eur,10
negative,earnings per share loss eur,10
neutral,product include consumer electronics device mobile phone accessory set top box flat panel tv well system solution product infrastructure system module industrial segment product,37
positive,operating profit totalled eur mn loss eur mn second quarter,22
neutral,value order hand totaled eur mn,11
positive,adp news sep finnish security privacy software solution developer stonesoft oyj said today usd million eur order deliver stonegate network security product unnamed russian te,46
positive,cash flow operation totalled eur mn compared negative eur mn corresponding period,23
neutral,deal significant effect acquiring company equity ratio,15
negative,scanfil also issued profit warning,8
neutral,mursula said tried gather macro economic perspective see malaysia,15
positive,nokia world largest mobile phone manufacturer china postel china largest mobile phone distributor long standing partnership continues grow stronger time,33
positive,q bank land net interest income increased eur mn eur mn,22
positive,party agreed negotiate definitive distribution license agreement end june,18
neutral,copyright afx news afx financial news logo registered trademark afx news limited,15
negative,operating profit excluding non recurring item decreased eur mn eur mn representing net sale,24
neutral,total capacity factory approximately engine year,14
positive,net sale rose year year eur number charger delivered went million piece,28
neutral,lemiste city environment knowledge based economy providing work people total turnover company amounting eek bn said lo p rnits chairman supervisory board lemiste city mainor,43
positive,company expect first order already,10
positive,rose finland abroad respectively eur million eur million due growth russia,34
positive,design team long admired marimekko vivid pattern color,14
neutral,stockholm march cybercom cybercom group high tech consultancy offer global sourcing end end solution,22
positive,finnish telecom software developer tecnomen oyj said december mln mln euro order supply expansion charging messaging system mobile fixed network brasil telecom,44
positive,eps improved eur eur,10
neutral,nokia deliver wcdma g hspa radio network including modular high capacity nokia flexi wcdma base station indosat,23
neutral,contract value amount eur million,9
negative,nokia certainly disagree qualcomm view patent situation,13
positive,net interest income eur mn eur mn,16
positive,service fesco telling example strengthening relationship logistics company operator international level,23
neutral,martela front runner providing innovative solution customer service martela design supply interior solution working environment public space,25
neutral,registration required,4
neutral,finland based company say move existing square foot facility september,15
neutral,compared ftse index fell point day relative price change,30
neutral,decision french court relates claim raised twenty one former aspocomp employee company said,22
neutral,work assignment already started due completion spring,16
neutral,moment approximately vianor sale office russia,14
neutral,second company acquired sweden reftele maskinservice ab whose business mainly field service spare part manufacturing employee mln eur sale year,33
positive,operating profit improved er mn eur mn,17
positive,sweden operating profit period review totaled eur mn corresponding period,25
neutral,vessel largest fastest ropax vessel world built fincantieri,19
positive,open next year largest facility world produce diesel fuel renewable feedstock palm oil animal fat,29
positive,agreement shb december finnish financial service group aktia hel aktav concluded market making agreement svenska handelsbanken sto shb shb two party said today,38
neutral,incap contract manufacturing carry manufacturing agreement factory tumkur near bangalore,20
neutral,n viro operates processing facility independently well partnership municipality,13
positive,bilfinger investor cheered agreement pushing share euro euro afternoon trade,28
positive,financing aspocomp growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit board pcbs,25
positive,w rtsil solution selected low fuel consumption environmentally sound technology global service support,21
neutral,stichting pensioenfonds abp share representing share capital voting right,19
positive,group business balanced broad portfolio sport presence major market,19
positive,residentialconstruction particular picked several market,11
positive,nokia nokia pioneer mobile telecommunication world leading maker mobile device,19
positive,danske bank danske dc jumped percent krone rebounding yesterday percent slide,20
neutral,korean consumer tech savvy leading pack term design gill hyun chang president motorola korea inc told dow jones newswires interview,32
positive,continuing operation turned operating loss eur mn slight improvement loss eur mn year earlier,25
neutral,last july group said intended relocate warehouse office space loudeac saint marcel morvillars east france already operates hook manufacturing distribution unit,39
neutral,report examines medical equipment business structure operation history product provides analysis key medical equipment revenue line,27
positive,according ceo kai telanne company newspaper achieved best financial result ever,17
neutral,le coq special developed bicentenary company trade mark brewer said,21
negative,operating profit non recurring item eur mn first nine month compared eur corresponding period,28
neutral,scopi chief business excellence officer eng,8
neutral,solvay engaged poyry provide project management engineering procurement site service hydrogen peroxide production plant built solvay basf joint venture basf zandvliet site belgium,39
neutral,nevertheless development allowed ruin print newspaper continues sanoma news main medium,24
positive,jawad williams scored point impressive debut jerusalem jason rich adding yuval naimi chipping point hapoel visit yellow blue next week,35
negative,operating profit fourth quarter fell eur eur year earlier,15
negative,repeat see operating profit reporting helsinki newsroom keywords tecnomen result,16
neutral,stena poseidon called panamax tanker designed able pas narrow passage panama canal lock,26
positive,company estimate trend demand sport equipment steady amer report said,23
neutral,group consolidated net sale totaled billion euro employ approximately person,19
neutral,atrium said offer would give swedish company continued ownership control slaughtering cutting operation,20
neutral,bavelloni nst joint venture bavelloni tool completes semiproducts produced italy high quality tool sold diapol brand,31
positive,finnish consulting engineering group poyry plc omx helsinki poy said wednesday october awarded contract tanqia dibba fzc owner engineer wastewater system dibba emirate fujairah uae,46
neutral,depends financing,5
neutral,reason st petersburg status capital one participant meeting quoted chikunov saying,24
neutral,among biggest christmas seller satin bow shift dress styled outfit worn victoria beckham paris hilton prom dress,27
positive,pleased proud performance last year chief executive juha rantanen said statement,23
neutral,plant would use palm oil certified roundtable sustainable palm oil rspo,18
neutral,downloadable instruction sheet instructional video project idea award winning everywhere punch tm window system found www fiskars com,25
negative,september alone market declined percent year year million liter,16
neutral,december amer announced dismissal ceo roger talermo headed company since,20
positive,german company also signed code share agreement another oneworld member american airline inc part u based amr corp nyse amr,30
positive,solid credit compared dz bank rabobank,17
neutral,impact tietoenator net sale purchase expected mln euro mln,24
neutral,finnish publishing printing group ilkka yhtym introduced staff smoking ban beginning company three newspaper,25
positive,banking sampo unchanged eur nordea rose pct eur,19
negative,incap furniture presently negotiating staff cut,8
neutral,share repurchase helsinki stock exchange behalf sampo plc danske bank helsinki branch,18
neutral,tn mean handset support teliasonera telia navigator global positioning system service,15
